State	elec_fixed_charge	elec_marginal_rate	natural_gas_fixed_charge	natural_gas_marginal_rate	propane_fixed_charge	propane_marginal_rate	fuel_oil_fixed_charge	fuel_oil_marginal_rate	wood_fixed_charge	wood_marginal_rate
AK	13.8	0.215063004	4.95	1.058096089	0	8.11	0	6.58		
AL	13.8	0.133848087	14	1.466099897	0	3.467538462	0	3.741846154		
AR	13.8	0.109361977	13.24	1.416042199	0	2.538846154	0	3.741846154		
AZ	13.8	0.127150707	10.8	1.491501436	0	2.632769231	0	3.741846154		
CA	13.8	0.266971414	4.95	1.964713414	0	2.632769231	0	3.741846154		
CO	13.8	0.12212382	10.8	0.97273477	0	2.304384615	0	3.741846154		
CT	13.8	0.278485535	13.5	1.621992584	0	3.967076923	0	3.658923077		
DC	13.8	0.142604109	10	1.443628661	0	3.390230769	0	3.801		
DE	13.8	0.141584464	10	1.492142732	0	3.819769231	0	4.016307692		
FL	13.8	0.139605448	10	1.863660544	0	4.751615385	0	3.526538462		
GA	13.8	0.123565513	10	1.65263025	0	3.178923077	0	3.526538462		
HI	13.8	0.396489398	4.95	4.83842304	0	2.632769231	0	3.741846154		
IA	13.8	0.116761718	13.16	0.890533801	0	1.642230769	0	2.897307692		
ID	13.8	0.09623518	10.8	0.771145095	0	2.536923077	0	3.741846154		
IL	13.8	0.136443929	11.38	0.970288774	0	1.951692308	0	3.309538462		
IN	13.8	0.133635546	11.38	0.924764572	0	2.485153846	0	3.274230769		
KS	13.8	0.118167966	13.16	1.172535955	0	1.889	0	3.309538462		
KY	13.8	0.11263658	14	1.179455136	0	2.734461538	0	2.967307692		
LA	13.8	0.104342732	13.24	1.083933273	0	2.947230769	0	3.741846154		
MA	13.8	0.271402266	13.5	1.837640087	0	3.623384615	0	3.809384615		
MD	13.8	0.150543726	10	1.476893379	0	3.666076923	0	3.888615385		
ME	13.8	0.249571924	13.5	1.651841618	0	3.439923077	0	3.486230769		
MI	13.8	0.165542527	11.38	0.947964437	0	2.279153846	0	3.088538462		
MN	13.8	0.128973847	13.16	0.95950615	0	2.021384615	0	3.448461538		
MO	13.8	0.112014549	13.16	1.413705399	0	2.164692308	0	3.309538462		
MS	13.8	0.120336179	14	1.13368161	0	3.038615385	0	3.741846154		
MT	13.8	0.109586156	10.8	0.814349384	0	2.221692308	0	3.741846154		
NC	13.8	0.115311516	10	1.411150918	0	3.404923077	0	3.329769231		
ND	13.8	0.097183641	13.16	0.757959287	0	1.761461538	0	3.309538462		
NE	13.8	0.098152001	13.16	1.042071903	0	1.679230769	0	2.746846154		
NH	13.8	0.258502111	13.5	1.766762896	0	3.680615385	0	3.921		
NJ	13.8	0.155457448	14.6	1.041230921	0	3.747769231	0	3.941846154		
NM	13.8	0.117508163	10.8	0.914474387	0	2.947230769	0	3.741846154		
NV	13.8	0.150884217	10.8	1.40010647	0	2.632769231	0	3.741846154		
NY	13.8	0.198047752	14.6	1.440901216	0	3.487846154	0	3.976461538		
OH	13.8	0.136793145	11.38	1.138438617	0	2.734153846	0	3.582692308		
OK	13.8	0.10788677	13.24	1.191737547	0	2.316615385	0	3.309538462		
OR	13.8	0.112391066	4.95	1.420968081	0	2.632769231	0	3.741846154		
PA	13.8	0.163560709	14.6	1.250961795	0	3.004846154	0	3.449153846		
RI	13.8	0.245262372	13.5	1.75104111	0	3.699076923	0	3.768230769		
SC	13.8	0.123340947	10	1.376099502	0	3.495	0	3.526538462		
SD	13.8	0.109780313	13.16	0.766550977	0	1.906153846	0	3.309538462		
TN	13.8	0.109475659	14	0.808926492	0	3.256230769	0	3.309538462		
TX	13.8	0.132607564	13.24	1.274823771	0	2.959615385	0	3.741846154		
UT	13.8	0.093792718	10.8	1.131644784	0	2.426692308	0	3.741846154		
VA	13.8	0.128706431	10	1.45183129	0	3.551923077	0	3.681153846		
VT	13.8	0.183661334	13.5	1.44004766	0	3.720461538	0	3.694307692		
WA	13.8	0.095708797	4.95	1.413742415	0	2.632769231	0	3.741846154		
WI	13.8	0.147789041	11.38	0.8619508	0	1.982692308	0	3.019076923		
WV	13.8	0.126507786	10	1.324122284	0	3.495	0	3.526538462		
WY	13.8	0.098685549	10.8	1.161648985	0	2.331384615	0	3.741846154		
